original_species,replacement_species
Cyanobium sp. ,Cyanobium sp. PCC 7001
Trichodesmium sp. ,Trichodesmium tenue
Oscillatoria sp. ,Oscillatoria corallinae
Spirulina sp. ,Spirulina major
Micromonas pusilla ,Micromonas
Volvox sp. ,Volvox globator
Eudorina sp. ,Eudorina cylindrica
Dunaliella minuta ,Dunaliella
Dunaliella bioculata ,Dunaliella
Dunaliella tertiolecta ,Dunaliella
Dunaliella viridis ,Dunaliella
Dunaliella primolecta ,Dunaliella
Dunaliella salina ,Dunaliella
Dunaliella bardawil ,Dunaliella
Chlorococcum hypnosporum ,Chlorococcum oleofaciens
Chlorella salina ,Ulothrix zonata
Ulva pertusa ,Ulva
Enteromorpha flexuosa ,Ulva
Enteromorpha linza ,Ulva
Ulva lactuca ,Ulva
Ulva fasciata ,Ulva
Ulva fenestrata ,Ulva
Ulva armoricana ,Ulva
Ulva intestinalis ,Ulva
Enteromorpha intestinalis ,Ulva
Chlorella vulgaris var. vulgaris ,Chlorella vulgaris
Chlorella autotrophica ,Chlorella vulgaris
Zygnema cylindricum ,Zygnema
Chara fragilis ,Chara
Chara zeylanica ,Chara
Chara globularis ,Chara
Chara canescens ,Chara
Rhodymenia pseudopalmata ,Rhodymenia
Callithamnion corymbosum ,Griffithsia corallinoides
Polysiphonia lanosa ,Bostrychia intricata
Gracilaria lemaneiformis ,Gracilariopsis
Gracilaria verrucosa ,Gracilariopsis
Gracilaria changii ,Gracilaria
Gracilaria dura ,Gracilaria
Gracilaria salicornia ,Gracilaria
Gracilaria edulis ,Gracilaria
Gracilaria tikvahiae ,Gracilaria
Neogoniolithon fosliei ,Neogoniolithon sp. AR-2015
Leucoraja erinacea ,Amblyraja radiata
Mallotus catervarius ,Mallotus villosus
Salmo aguabonita ,Oncorhynchus mykiss
Salmo gairdneri ,Oncorhynchus mykiss
Salmo irideus ,Oncorhynchus mykiss
Oncorhynchus aguabonita ,Oncorhynchus mykiss
Oncorhynchus apache ,Oncorhynchus gilae
Oncorhynchus rhodurus ,Oncorhynchus masou
Pterophyllum scalare ,Pterophyllum
Jenynsia multidentata ,Anableps anableps
Periophthalmus waltoni ,Periophthalmus kalolo
Gadus callarias ,Gadus morhua
Synodontis sp. ,Synodontis soloni
Nannostomus unifasciatus ,Nannostomus espei
Nemacheilus angorae ,Oxynoemacheilus pindus
Rutilus caspicus ,Rutilus rutilus
Capoeta fusca ,Capoeta antalyensis
Cyprinion watsoni ,Cyprinion macrostomum
Cyprinus carpio var. jian ,Cyprinus carpio
Onychostoma barbata ,Onychostoma macrolepis
Cyclops vernalis ,Acanthocyclops
Acanthocyclops viridis ,Acanthocyclops
Acanthocyclops robustus ,Acanthocyclops
Acanthocyclops bicuspidatus ,Acanthocyclops
Acanthocyclops vernalis ,Acanthocyclops
Balanus sp. ,Balanus crenatus
Melita matilda ,Melita nitida
Chelura terebrans ,Podocerus variegatus
Crangonyx pseudogracilis ,Crangonyx
Niphargus aquilex ,Niphargus spinulifemur
Anonyx makarovi ,Stephonyx biscayensis
Themisto abyssorum ,Themisto sp. LJC-2013
Jaera albifrons ,Neojaera antarctica
Americamysis bahia ,Pseudomma brevisquamosum
Metapenaeopsis barbata ,Metapenaeopsis provocatoria
Clibanarius longitarsus ,Clibanarius albidigitus
Lithodes santolla ,Lithodes
Pachygrapsus crassipes ,Pachygrapsus
Uca annulipes ,Austruca lactea
Ilyoplax gangetica ,Scopimera bitympana
Tunicotheres moseri ,Arcotheres sp. LMT-2014
Leptodius exaratus ,Galene bispinosa
Portunus sanguinolentus ,Portunus
Portunus trituberculatus ,Portunus
Portunus pelagicus ,Portunus
Charybdis feriatus ,Charybdis
Charybdis japonica ,Charybdis
Spiralothelphusa hydrodroma ,Spiralothelphusa fernandoi
Dilocarcinus pagei ,Trichodactylus dentatus
Austropotamobius fulcisianus fulcisianus ,Austropotamobius fulcisianus
Austropotamobius italicus italicus ,Austropotamobius fulcisianus
Astacus pallipes italicus ,Austropotamobius fulcisianus
Austropotamobius italicus ,Austropotamobius fulcisianus
Cambarus bartonii ,Cambarus maculatus
Neotrypaea californiensis ,Lepidophthalmus louisianensis
Lysmata seticaudata ,Lysmata debelius
Caridina denticulata ,Neocaridina saccam
Lynceus brachyurus ,Lynceus tatei
Heterocypris incongruens ,Heterocypris
Heterocypris sp. ,Heterocypris
Argulus coregoni ,Argulus
Phaeocystis cordata ,Phaeocystis pouchetii
Pavlova gyrans ,Pavlova pinguis
Coscinodiscus sp. ,Coscinodiscus granii
Aulacoseira granulata var. angustissima ,Aulacoseira granulata
Detonula confervacea ,Detonula
Odontella mobiliensis ,Trieres chinensis
Entomoneis punctulata ,Entomoneis
Navicula seminulum ,Sellaphora pupula
Pleurosigma sp. ,Pleurosigma intermedium
Surirella sp. ,Surirella brebissonii
Eunotia minor ,Eunotia monodon
Sargassum filipendula ,Sargassum fallax
Laminaria saccharina ,Saccharina
Heterocapsa niei ,Pfiesteria piscicida
Symbiodinium sp. ,Symbiodinium sp. clade C
Chroomonas sp. ,Chroomonas
